,Kab,Kec,Desa/Kel,No Register,No SK
0,PASANGKAYU,BAMBALAMOTU,BAMBALAMOTU,7601011006001,460/10/KBM
1,PASANGKAYU,BAMBALAMOTU,BAMBALAMOTU,7601011006002,460/10/KBM
2,PASANGKAYU,BAMBALAMOTU,POLEWALI,7601012003001,460/10/KBM
3,PASANGKAYU,BAMBALAMOTU,POLEWALI,7601012003002,460/10/KBM
4,PASANGKAYU,BAMBALAMOTU,POLEWALI,7601012003003,460/10/KBM
5,PASANGKAYU,BAMBALAMOTU,RANDOMAYANG,7601012004001,460/10/KBM
6,PASANGKAYU,BAMBALAMOTU,RANDOMAYANG,7601012004002,460/10/KBM
7,PASANGKAYU,BAMBALAMOTU,PANGIANG,7601012007001,460/10/KBM
8,PASANGKAYU,BAMBALAMOTU,PANGIANG,7601012007002,460/10/KBM
9,PASANGKAYU,BAMBALAMOTU,KALOLA,7601012008001,460/10/KBM
10,PASANGKAYU,BAMBALAMOTU,KALOLA,7601012008002,460/10/KBM
11,PASANGKAYU,BAMBALAMOTU,WULAI,7601012009001,460/10/KBM
12,PASANGKAYU,PASANGKAYU,PASANGKAYU,7601021001001,148.1/10/X/2021/LP
13,PASANGKAYU,PASANGKAYU,PASANGKAYU,7601021001002,148.1/10/X/2021/LP
14,PASANGKAYU,PASANGKAYU,PASANGKAYU,7601021001003,148.1/10/X/2021/LP
15,PASANGKAYU,PASANGKAYU,MARTAJAYA,7601021002001,148.1/13/I/2023/LM
16,PASANGKAYU,PASANGKAYU,MARTAJAYA,7601021002002,148.1/13/I/2023/LM
17,PASANGKAYU,PASANGKAYU,PAKAVA,7601022010001,04 Tahun 2024
18,PASANGKAYU,PASANGKAYU,KARYA BERSAMA,7601022014001,32 Tahun 2023
19,PASANGKAYU,PASANGKAYU,KARYA BERSAMA,7601022014002,32 Tahun 2023
20,PASANGKAYU,PASANGKAYU,AKO,7601022015001,27 tahun 2023
21,PASANGKAYU,PASANGKAYU,AKO,7601022015002,27 tahun 2023
22,PASANGKAYU,PASANGKAYU,GUNUNG SARI,7601022016001,KPT.050/20/II/2023
23,PASANGKAYU,BARAS,BARAS,7601031001002,12.3301/08/KPTS/1/2023/KLB
24,PASANGKAYU,BARAS,BARAS,7601031001003,12.3301/08/KPTS/ I / 2023/KLB
25,PASANGKAYU,BARAS,BARAS,7601031001004,12. 3301 /08 / KPTS / I / 2023 / KLB
26,PASANGKAYU,BARAS,BALANTI,7601032002001,141 / 06 /SK /1 / 2023 /DB
27,PASANGKAYU,BARAS,BALANTI,7601032002002,141 / 07 /SK /1 / 2023 /DB
28,PASANGKAYU,BARAS,BALANTI,7601032002003,141 / 08 /SK /1 / 2023 /DB
29,PASANGKAYU,BARAS,MOTU,7601032003002,18 Tahun 2023
30,PASANGKAYU,BARAS,MOTU,7601032003003,17 Tahun 2023
31,PASANGKAYU,BARAS,MOTU,7601032003004,17 Tahun 2023
