...1,KODE,NAMA FASKES,JUMLAH PESERTA KB BARU,1 BULANAN,3 BULANAN KOMBINASI,3 BULANAN PROGESTIN,KOMBINASI,PROGESTIN,KONDOM,1 BATANG,2 BATANG,IUD,VASEKTOMI,TUBEKTOMI,BULAN,KABUPATEN,KECAMATAN,TAHUN
3,760100207,PUSTU BAMBAIRA,1,0,0,1,0,0,0,0,0,0,0,0,JANUARI,PASANGKAYU,BAMBAIRA,2023
13,7606010,Puskesmas lara,6,0,0,0,0,0,0,0,5,1,0,0,JANUARI,MAMUJU TENGAH,KAROSSA,2023
26,760601002,pustu salubiro,3,0,1,0,2,0,0,0,0,0,0,0,JANUARI,MAMUJU TENGAH,KAROSSA,2023
31,7606007,PUSKESMAS TOPOYO,5,0,0,0,0,0,0,0,2,3,0,0,JANUARI,MAMUJU TENGAH,TOPOYO,2023
42,760600804,PUSTU TABOLANG,6,0,2,3,1,0,0,0,0,0,0,0,JANUARI,MAMUJU TENGAH,TOPOYO,2023
47,760600801,PUSTU BAMBAMANURUNG,2,1,0,1,0,0,0,0,0,0,0,0,JANUARI,MAMUJU TENGAH,TOPOYO,2023
56,760101404,Polindes Tabalia,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,PASANGKAYU,DAPURANG,2023
80,760600203,Poskesdes Tritunggal,1,0,0,1,0,0,0,0,0,0,0,0,JANUARI,MAMUJU TENGAH,PANGALE,2023
82,760600106,Pustu Kuo,3,0,0,3,0,0,0,0,0,0,0,0,JANUARI,MAMUJU TENGAH,PANGALE,2023
85,760600205,Poskesdes Lamba- lamba,4,0,0,1,1,0,0,0,2,0,0,0,JANUARI,MAMUJU TENGAH,PANGALE,2023
86,760600204,Pustu Kombiling,1,0,0,1,0,0,0,0,0,0,0,0,JANUARI,MAMUJU TENGAH,PANGALE,2023
91,7604018,PUSKESMAS PAMBUSUANG,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,POLEWALI MANDAR,BALANIPA,2023
100,7604010,PUSKESMAS CAMPALAGIAN,6,0,0,4,0,0,1,0,1,0,0,0,JANUARI,POLEWALI MANDAR,CAMPALAGIAN,2023
120,760402807,PUSTU RUMPA,2,0,1,1,0,0,0,0,0,0,0,0,JANUARI,POLEWALI MANDAR,MAPILLI,2023
147,7604020,PUSKESMAS LIMBORO,4,0,1,0,3,0,0,0,0,0,0,0,JANUARI,POLEWALI MANDAR,LIMBORO,2023
153,760501002,PUSTU ULUMANDA,2,0,0,1,1,0,0,0,0,0,0,0,JANUARI,MAJENE,ULUMANDA,2023
160,7604021,PUSKESMAS TUTALLU,10,0,0,6,1,0,0,0,3,0,0,0,JANUARI,POLEWALI MANDAR,ALLU,2023
162,760402103,POSKESDES PAO - PAO,4,0,0,3,1,0,0,0,0,0,0,0,JANUARI,POLEWALI MANDAR,ALLU,2023
168,7604034,PUSKESMAS BATUPANGA,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,POLEWALI MANDAR,LUYO,2023
175,760403417,PUSTU BATUPANGA DAALA,1,0,1,0,0,0,0,0,0,0,0,0,JANUARI,POLEWALI MANDAR,LUYO,2023
186,7605011,PKM SENDANA II,8,0,0,4,1,0,1,0,2,0,0,0,JANUARI,MAJENE,TUBO SENDANA,2023
187,760501108,"PRAKTEK MANDIRI BIDAN NURAENI, S.ST,",5,0,0,0,0,0,0,0,4,1,0,0,JANUARI,MAJENE,TUBO SENDANA,2023
193,760403803,PUSTU PATAMPANUA,1,0,0,0,1,0,0,0,0,0,0,0,JANUARI,POLEWALI MANDAR,MATAKALI,2023
220,760500604,Poskesdes Waigamo,2,0,2,0,0,0,0,0,0,0,0,0,JANUARI,MAJENE,TAMMERODO SENDANA,2023
229,7604023,PUSKESMAS MATANGNGA,7,0,2,0,0,0,0,0,5,0,0,0,JANUARI,POLEWALI MANDAR,MATANGNGA,2023
238,7601015,UPT PUSKESMAS DURIPOKU,2,0,0,1,0,0,0,0,1,0,0,0,JANUARI,PASANGKAYU,DURIPOKU,2023
245,760600504,PUSTU SULOBAJA,3,0,0,2,0,0,0,0,1,0,0,0,JANUARI,MAMUJU TENGAH,TOBADAK,2023
248,760600501,PUSTU TOBADAK,7,0,0,4,2,0,1,0,0,0,0,0,JANUARI,MAMUJU TENGAH,TOBADAK,2023
249,760600502,PUSTU POLONGAAN,3,0,0,3,0,0,0,0,0,0,0,0,JANUARI,MAMUJU TENGAH,TOBADAK,2023
255,760600505,PUSTU BAMBADARU,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,MAMUJU TENGAH,TOBADAK,2023
262,760500518,PUSTU SIRINDU,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,MAJENE,PAMBOANG,2023
288,7605013,PUSKESMAS SENDANA 1,31,0,9,0,5,0,1,0,14,2,0,0,JANUARI,MAJENE,SENDANA,2023
292,760501314,PUSTU TALLU BANUA,2,0,1,0,1,0,0,0,0,0,0,0,JANUARI,MAJENE,SENDANA,2023
293,760501315,POSKESDES TULLU BULAN,5,0,2,0,3,0,0,0,0,0,0,0,JANUARI,MAJENE,SENDANA,2023
297,760501307,PUSTU PUNDAU,3,0,2,0,1,0,0,0,0,0,0,0,JANUARI,MAJENE,SENDANA,2023
314,760404703,PUSTU TAKATIDUNG,4,0,0,2,2,0,0,0,0,0,0,0,JANUARI,POLEWALI MANDAR,POLEWALI,2023
327,760500303,Poskesdes Buttu Tande,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,MAJENE,BANGGAE TIMUR,2023
350,7603020,RUMAH SAKIT BANUA MAMASE,16,0,6,0,2,0,4,0,1,3,0,0,JANUARI,MAMASA,MAMASA,2023
359,760500806,PUSTU BAMBANGAN,3,0,0,3,0,0,0,0,0,0,0,0,JANUARI,MAJENE,MALUNDA,2023
366,760500808,POSKESDES LOMBONG TIMUR,3,0,0,0,3,0,0,0,0,0,0,0,JANUARI,MAJENE,MALUNDA,2023
