KABUPATEN,KECAMATAN,KODE,NAMA FASKES,JUMLAH PESERTA KB BARU,SUNTIK 1 BULANAN,SUNTIK 3 BULANAN KOMBINASI,SUNTIK 3 BULANAN PROGESTIN,PIL KOMBINASI,PIL PROGESTIN,KONDOM,IMPLAN 1 BATANG,IMPLAN 2 BATANG,IUD,VASEKTOMI,TUBEKTOMI,BULAN,TAHUN
MAMUJU TENGAH,KAROSSA,7606010,Puskesmas lara,2,0,0,0,0,0,0,0,2,0,0,0,JANUARI,2024
MAMUJU TENGAH,KAROSSA,760601002,pustu salubiro,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2024
PASANGKAYU,DAPURANG,760101404,Polindes Tabalia,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2024
MAMUJU TENGAH,PANGALE,760600205,Poskesdes Lamba- lamba,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2024
MAMUJU TENGAH,PANGALE,760600204,Pustu Kombiling,1,0,0,1,0,0,0,0,0,0,0,0,JANUARI,2024
POLEWALI MANDAR,MATAKALI,760403803,PUSTU PATAMPANUA,3,0,0,1,0,1,0,0,1,0,0,0,JANUARI,2024
POLEWALI MANDAR,MAPILLI,760402807,PUSTU RUMPA,1,0,0,1,0,0,0,0,0,0,0,0,JANUARI,2024
PASANGKAYU,LARIANG,760100804,POSKESDES BAMBAKORO,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2024
PASANGKAYU,PASANGKAYU,7601016,RSUD Kabupaten Pasangkayu,33,0,0,0,1,0,0,0,1,20,0,11,JANUARI,2024
MAMASA,TAWALIAN,760301401,PUSTU TAWALIAN TIMUR,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2024
POLEWALI MANDAR,POLEWALI,760404703,PUSTU TAKATIDUNG,6,0,1,3,0,0,2,0,0,0,0,0,JANUARI,2024
POLEWALI MANDAR,LUYO,760403417,PUSTU BATUPANGA DAALA,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2024
MAMUJU TENGAH,TOBADAK,760600501,PUSTU TOBADAK,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2024
MAMUJU TENGAH,TOBADAK,760600502,PUSTU POLONGAAN,1,0,0,1,0,0,0,0,0,0,0,0,JANUARI,2024
POLEWALI MANDAR,WONOMULYO,7604029,PUSKESMAS WONOMULYO,6,0,0,0,0,0,0,0,6,0,0,0,JANUARI,2024
MAMASA,TABANG,760301004,Pustu Kalama,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2024
POLEWALI MANDAR,TUTAR,760402201,POSKESDES RATTE,1,0,0,0,1,0,0,0,0,0,0,0,JANUARI,2024
MAMUJU,MAMUJU,7602009,PUSKESMAS BAMBU,8,0,0,4,4,0,0,0,0,0,0,0,JANUARI,2024
PASANGKAYU,TIKKE RAYA,760100704,POSKESDES PAJALELE,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2024
PASANGKAYU,SARUDU,760101201,Pustu Kumasari,2,0,0,2,0,0,0,0,0,0,0,0,JANUARI,2024
POLEWALI MANDAR,CAMPALAGIAN,7604010,PUSKESMAS CAMPALAGIAN,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2024
POLEWALI MANDAR,BULO,760403705,Poskesdes Pulliwa,3,0,0,0,1,0,0,0,0,0,0,2,JANUARI,2024
MAMASA,MAMASA,7603020,RUMAH SAKIT BANUA MAMASE,8,0,0,2,5,0,0,0,1,0,0,0,JANUARI,2024
MAMASA,ARALLE,760300202,POSKESDES UHAILANU,1,0,0,1,0,0,0,0,0,0,0,0,JANUARI,2024
MAMUJU,KALUKKU,7602020,Puskesmas Tampa Padang,8,0,0,3,0,1,1,0,3,0,0,0,JANUARI,2024
MAMUJU,KALUKKU,7602022,Puskesmas Ranga- Ranga,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2024
MAMUJU,TAPALANG,760202603,Poskesdes Kasambang,1,0,0,1,0,0,0,0,0,0,0,0,JANUARI,2024
MAJENE,ULUMANDA,760501002,PUSTU ULUMANDA,4,0,0,0,4,0,0,0,0,0,0,0,JANUARI,2024
MAJENE,TUBO SENDANA,760501108,"PRAKTEK MANDIRI BIDAN NURAENI, S.ST,",1,0,1,0,0,0,0,0,0,0,0,0,JANUARI,2024
MAMUJU,BONEHAU,7602030,PKM Bonehau Mesa Kada,3,0,0,1,0,2,0,0,0,0,0,0,JANUARI,2024
POLEWALI MANDAR,ALLU,760402103,POSKESDES PAO - PAO,2,0,0,2,0,0,0,0,0,0,0,0,JANUARI,2024
MAJENE,MALUNDA,760500806,PUSTU BAMBANGAN,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2024
