PROVINSI,KABUPATEN,KECAMATAN,YANG ADA,YANG LAPOR,%,JUMLAH KLIEN YANG MENDAPAT PELAYANAN KONSULTASI DAN KONSELING PADA PPKS,DATA DAN INFORMASI BANGGA KENCANA,KELUARG A BALITA DAN ANAK,KELUARGA REMAJA DAN REMAJA,KELUARGA LANSIA DAN LANSIA,PRA NIKAH,KB DAN KESEHATAN REPRODUKS I,KELUARGA HARMONIS,PEMBINAAN PEMBERDAYAA N EKONOMI PRODUKTIF,LAINNYA,KONSULTASI LANJUTAN,DIRUJUK,SELESAI,BULAN,TAHUN
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2023
SULAWESI BARAT,PASANGKAYU,PASANGKAYU,1,1,100,1,0,0,0,0,0,1,0,0,0,0,0,1,JANUARI,2023
SULAWESI BARAT,PASANGKAYU,BARAS,1,1,100,1,0,0,0,0,0,1,0,0,0,0,0,1,JANUARI,2023
SULAWESI BARAT,PASANGKAYU,SARUDU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2023
SULAWESI BARAT,PASANGKAYU,DAPURANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2023
SULAWESI BARAT,PASANGKAYU,DURIPOKU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2023
SULAWESI BARAT,PASANGKAYU,BULU TABA,1,1,100,3,0,2,1,0,0,0,0,0,0,1,0,2,JANUARI,2023
SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2023
SULAWESI BARAT,PASANGKAYU,PEDONGGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2023
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,1,1,100,2,0,1,0,0,0,1,0,0,0,0,0,2,JANUARI,2023
SULAWESI BARAT,PASANGKAYU,SARJO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2023
SULAWESI BARAT,PASANGKAYU,LARIANG,1,1,100,1,0,0,0,0,0,0,0,0,1,0,0,1,JANUARI,2023
SULAWESI BARAT,MAMUJU,MAMUJU,1,1,100,1,1,0,0,0,0,0,0,0,0,0,0,1,JANUARI,2023
SULAWESI BARAT,MAMUJU,TAPALANG,1,1,100,1,0,0,0,0,0,1,0,0,0,0,0,1,JANUARI,2023
SULAWESI BARAT,MAMUJU,KALUKKU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2023
SULAWESI BARAT,MAMUJU,KALUMPANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2023
SULAWESI BARAT,MAMUJU,PAPALANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2023
SULAWESI BARAT,MAMUJU,SAMPAGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2023
SULAWESI BARAT,MAMUJU,TOMMO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2023
SULAWESI BARAT,MAMUJU,SIMBORO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2023
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2023
SULAWESI BARAT,MAMUJU,BONEHAU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2023
SULAWESI BARAT,MAMUJU,KEP. BALA BALAKANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2023
SULAWESI BARAT,MAJENE,BANGGAE,1,1,100,1,0,0,0,0,0,1,0,0,0,0,0,1,JANUARI,2023
SULAWESI BARAT,MAJENE,PAMBOANG,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,JANUARI,2023
SULAWESI BARAT,MAJENE,SENDANA,1,1,100,2,0,0,0,0,2,0,0,0,0,2,0,0,JANUARI,2023
SULAWESI BARAT,MAJENE,MALUNDA,1,1,100,1,0,0,0,0,1,0,0,0,0,0,0,1,JANUARI,2023
SULAWESI BARAT,MAJENE,ULUMANDA,1,1,100,1,0,0,1,0,0,0,0,0,0,0,0,1,JANUARI,2023
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,1,1,100,3,0,0,0,0,0,3,0,0,0,0,0,3,JANUARI,2023
SULAWESI BARAT,MAJENE,TUBO SENDANA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2023
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,1,1,100,1,0,0,0,0,0,1,0,0,0,1,0,0,JANUARI,2023
SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2023
SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,1,1,100,2,0,1,1,0,0,0,0,0,0,1,0,1,JANUARI,2023
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,1,1,100,3,0,0,0,0,0,3,0,0,0,0,0,3,JANUARI,2023
SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2023
SULAWESI BARAT,POLEWALI MANDAR,TUTAR,1,1,100,1,0,1,0,0,0,0,0,0,0,1,0,0,JANUARI,2023
